@relation cleaner

@attribute class {blood, cake, coffee, dressing, dust, fungus, glass, glue, grass, ink, lubricant, mud, oil, paper, paste, rot, sand, sauce, water, wine}
@attribute age numeric
@attribute class {floor, wood, carpet, carpetCotton}
@attribute class {airFreshener,alcohol,bakingSoda,cleaningMilk,dishSoap,floorSoap,fumigator,nothing,paste,soap,solvent,spray,vanish,vinegar,washingPowder,water}

@data
cake,5,wood,airFreshener
cake,0,wood,airFreshener
cake,6,wood,airFreshener
cake,1,wood,airFreshener
cake,4,wood,airFreshener
cake,2,wood,airFreshener
cake,9,wood,airFreshener
cake,5,wood,airFreshener
cake,7,wood,airFreshener
cake,4,wood,airFreshener
cake,0,wood,airFreshener
cake,7,wood,airFreshener
cake,10,wood,airFreshener
cake,8,wood,airFreshener
cake,6,wood,airFreshener
cake,4,wood,airFreshener
cake,1,wood,airFreshener
cake,8,wood,airFreshener
cake,4,wood,airFreshener
cake,3,wood,airFreshener
cake,2,wood,airFreshener
cake,7,wood,airFreshener
cake,1,wood,airFreshener
cake,9,wood,airFreshener
cake,4,wood,airFreshener
cake,1,wood,airFreshener
cake,9,wood,airFreshener
cake,6,wood,airFreshener
cake,4,wood,airFreshener
cake,8,wood,airFreshener
cake,6,wood,airFreshener
cake,4,wood,airFreshener
cake,5,wood,airFreshener
cake,8,wood,airFreshener
cake,6,wood,airFreshener
cake,10,wood,airFreshener
cake,3,wood,airFreshener
cake,6,wood,airFreshener
cake,0,wood,airFreshener
cake,5,wood,airFreshener
cake,3,wood,airFreshener
cake,7,wood,airFreshener
cake,0,wood,airFreshener
cake,6,wood,airFreshener
cake,1,wood,airFreshener
cake,8,wood,airFreshener
cake,0,wood,airFreshener
cake,7,wood,airFreshener
cake,2,wood,airFreshener
cake,3,wood,airFreshener
cake,1,wood,airFreshener
cake,2,wood,airFreshener
cake,4,wood,airFreshener
cake,0,wood,airFreshener
cake,2,wood,airFreshener
cake,0,wood,airFreshener
cake,9,wood,airFreshener
cake,8,wood,airFreshener
cake,4,wood,airFreshener
cake,6,wood,airFreshener
cake,5,wood,airFreshener
cake,4,wood,airFreshener
cake,5,wood,airFreshener
cake,0,wood,airFreshener
