@relation rubbish

@attribute wetness numeric
@attribute colorIntensity numeric
@attribute smellIntensity numeric
@attribute isSticky {true, false}
@attribute isGreasy {true, false}
@attribute roughness numeric
@attribute dangerousBacteries numeric
@attribute isFruity {true, false}
@attribute density numeric
@attribute class {blood, cake, coffee, dressing, dust, fungus, glass, glue, grass, ink, lubricant, mud, oil, paper, paste, rot, sand, sauce, water, wine}


@data
70,97,15,true,false,3,49,false,61,blood
66,95,19,true,false,2,59,false,47,blood
40,94,13,true,false,3,38,false,44,blood
40,86,12,true,false,4,57,false,61,blood
32,82,13,true,false,1,29,false,65,blood
41,97,12,true,false,1,22,false,47,blood
37,84,12,true,false,4,87,false,61,blood
62,86,12,true,false,2,75,false,55,blood
44,80,15,true,false,1,28,false,63,blood
58,91,14,true,false,1,82,false,74,blood
31,98,15,true,false,1,64,false,64,blood
50,78,12,true,false,2,24,false,55,blood
53,95,15,true,false,3,78,false,46,blood
33,94,14,true,false,2,40,false,44,blood
44,94,16,true,false,2,43,false,45,blood
63,88,12,true,false,4,57,false,67,blood
30,96,12,true,false,2,71,false,47,blood
46,84,13,true,false,1,67,false,71,blood
50,84,17,true,false,1,57,false,66,blood
50,93,16,true,false,2,24,false,60,blood
46,97,12,true,false,3,56,false,54,blood
35,82,18,true,false,3,84,false,52,blood
41,84,19,true,false,2,47,false,63,blood
52,94,15,true,false,4,65,false,72,blood
55,78,14,true,false,3,60,false,73,blood
39,88,12,true,false,3,72,false,46,blood
41,94,14,true,false,4,30,false,62,blood
47,80,17,true,false,3,76,false,48,blood
55,90,16,true,false,3,74,false,66,blood
47,85,13,true,false,3,48,false,50,blood
43,95,16,true,false,2,28,false,49,blood
44,92,19,true,false,1,69,false,72,blood
57,88,19,true,false,2,69,false,50,blood
69,81,12,true,false,1,37,false,44,blood
33,83,17,true,false,1,48,false,54,blood
62,99,17,true,false,1,55,false,46,blood
61,80,19,true,false,4,62,false,70,blood
44,78,19,true,false,4,55,false,45,blood
54,90,14,true,false,3,58,false,50,blood
38,79,18,true,false,3,66,false,68,blood
54,92,15,true,false,1,60,false,67,blood
53,82,12,true,false,2,26,false,52,blood
50,87,17,true,false,4,64,false,44,blood
47,86,17,true,false,4,41,false,54,blood
53,78,19,true,false,3,78,false,71,blood
54,79,17,true,false,1,74,false,44,blood
